1,26,31,6;1,26,27,2;26,31,32,27;31,6,7,32;6,1,2,7;2,27,32,7
2,27,32,7;2,27,28,3;27,32,33,28;32,7,8,33;7,2,3,8;3,28,33,8
3,28,33,8;3,28,29,4;28,33,34,29;33,8,9,34;8,3,4,9;4,29,34,9
4,29,34,9;4,29,30,5;29,34,35,30;34,9,10,35;9,4,5,10;5,30,35,10
6,31,36,11;6,31,32,7;31,36,37,32;36,11,12,37;11,6,7,12;7,32,37,12
7,32,37,12;7,32,33,8;32,37,38,33;37,12,13,38;12,7,8,13;8,33,38,13
8,33,38,13;8,33,34,9;33,38,39,34;38,13,14,39;13,8,9,14;9,34,39,14
9,34,39,14;9,34,35,10;34,39,40,35;39,14,15,40;14,9,10,15;10,35,40,15
11,36,41,16;11,36,37,12;36,41,42,37;41,16,17,42;16,11,12,17;12,37,42,17
12,37,42,17;12,37,38,13;37,42,43,38;42,17,18,43;17,12,13,18;13,38,43,18
13,38,43,18;13,38,39,14;38,43,44,39;43,18,19,44;18,13,14,19;14,39,44,19
14,39,44,19;14,39,40,15;39,44,45,40;44,19,20,45;19,14,15,20;15,40,45,20
16,41,46,21;16,41,42,17;41,46,47,42;46,21,22,47;21,16,17,22;17,42,47,22
17,42,47,22;17,42,43,18;42,47,48,43;47,22,23,48;22,17,18,23;18,43,48,23
18,43,48,23;18,43,44,19;43,48,49,44;48,23,24,49;23,18,19,24;19,44,49,24
19,44,49,24;19,44,45,20;44,49,50,45;49,24,25,50;24,19,20,25;20,45,50,25
26,51,56,31;26,51,52,27;51,56,57,52;56,31,32,57;31,26,27,32;27,52,57,32
27,52,57,32;27,52,53,28;52,57,58,53;57,32,33,58;32,27,28,33;28,53,58,33
28,53,58,33;28,53,54,29;53,58,59,54;58,33,34,59;33,28,29,34;29,54,59,34
29,54,59,34;29,54,55,30;54,59,60,55;59,34,35,60;34,29,30,35;30,55,60,35
31,56,61,36;31,56,57,32;56,61,62,57;61,36,37,62;36,31,32,37;32,57,62,37
32,57,62,37;32,57,58,33;57,62,63,58;62,37,38,63;37,32,33,38;33,58,63,38
33,58,63,38;33,58,59,34;58,63,64,59;63,38,39,64;38,33,34,39;34,59,64,39
34,59,64,39;34,59,60,35;59,64,65,60;64,39,40,65;39,34,35,40;35,60,65,40
36,61,66,41;36,61,62,37;61,66,67,62;66,41,42,67;41,36,37,42;37,62,67,42
37,62,67,42;37,62,63,38;62,67,68,63;67,42,43,68;42,37,38,43;38,63,68,43
38,63,68,43;38,63,64,39;63,68,69,64;68,43,44,69;43,38,39,44;39,64,69,44
39,64,69,44;39,64,65,40;64,69,70,65;69,44,45,70;44,39,40,45;40,65,70,45
41,66,71,46;41,66,67,42;66,71,72,67;71,46,47,72;46,41,42,47;42,67,72,47
42,67,72,47;42,67,68,43;67,72,73,68;72,47,48,73;47,42,43,48;43,68,73,48
43,68,73,48;43,68,69,44;68,73,74,69;73,48,49,74;48,43,44,49;44,69,74,49
44,69,74,49;44,69,70,45;69,74,75,70;74,49,50,75;49,44,45,50;45,70,75,50
