1667,1779,1778;1778,1779,1966;1966,1667,1778;1966,1779,1667
1666,1667,1778;1778,1667,1966;1966,1666,1778;1966,1667,1666
1681,1666,1778;1778,1666,1966;1966,1681,1778;1966,1666,1681
1793,1681,1778;1778,1681,1966;1966,1793,1778;1966,1681,1793
1794,1793,1778;1778,1793,1966;1966,1794,1778;1966,1793,1794
1779,1794,1778;1778,1794,1966;1966,1779,1778;1966,1794,1779
915,901,887;887,901,1019;1019,915,887;1019,901,915
1018,900,887;887,900,915;915,1018,887;915,900,1018
1033,915,887;887,915,1019;1019,1033,887;1019,915,1033
1018,1033,887;887,1033,1019;1019,1018,887;1019,1033,1018
1033,1018,887;887,1018,915;915,1033,887;915,1018,1033
1004,1018,887;887,1018,1019;1019,1004,887;1019,1018,1004
660,558,659;659,558,543;543,660,659;543,558,660
675,558,659;659,558,660;660,675,659;660,558,675
558,542,659;659,542,543;543,558,659;543,542,558
675,674,659;659,674,558;558,675,659;558,674,675
674,557,659;659,557,558;558,674,659;558,557,674
557,542,659;659,542,558;558,557,659;558,542,557
549,564,681;681,564,1951;1951,549,681;1951,564,549
666,549,681;681,549,1951;1951,666,681;1951,549,666
776,660,661;661,660,790;790,776,661;790,660,776
790,791,661;661,791,777;777,790,661;777,791,790
776,790,661;661,790,777;777,776,661;777,790,776
790,675,661;661,675,791;791,790,661;791,675,790
660,675,661;661,675,790;790,660,661;790,675,660
675,676,661;661,676,791;791,675,661;791,676,675
1493,1492,1359;1359,1492,1375;1375,1493,1359;1375,1492,1493
1479,1493,1359;1359,1493,1375;1375,1479,1359;1375,1493,1479
1492,1374,1359;1359,1374,1375;1375,1492,1359;1375,1374,1492
1493,1479,1359;1359,1479,1492;1492,1493,1359;1492,1479,1493
1479,1478,1359;1359,1478,1492;1492,1479,1359;1492,1478,1479
1360,1479,1359;1359,1479,1375;1375,1360,1359;1375,1479,1360
446,333,431;431,333,1950;1950,446,431;1950,333,446
333,319,431;431,319,1950;1950,333,431;1950,319,333
563,446,431;431,446,1950;1950,563,431;1950,446,563
548,563,431;431,563,1950;1950,548,431;1950,563,548
1236,1120,1119;1119,1120,1105;1105,1236,1119;1105,1120,1236
1221,1236,1119;1119,1236,1105;1105,1221,1119;1105,1236,1221
1104,1221,1119;1119,1221,1105;1105,1104,1119;1105,1221,1104
1235,1236,1119;1119,1236,1221;1221,1235,1119;1221,1236,1235
1220,1235,1119;1119,1235,1221;1221,1220,1119;1221,1235,1220
1104,1220,1119;1119,1220,1221;1221,1104,1119;1221,1220,1104
1118,1005,1020;1020,1005,1117;1117,1118,1020;1117,1005,1118
1131,1118,1020;1020,1118,1117;1117,1131,1020;1117,1118,1131
1005,1004,1020;1020,1004,1117;1117,1005,1020;1117,1004,1005
1130,1131,1020;1020,1131,1117;1117,1130,1020;1117,1131,1130
1117,1004,1020;1020,1004,1019;1019,1117,1020;1019,1004,1117
1130,1117,1020;1020,1117,1019;1019,1130,1020;1019,1117,1130
1246,1247,1129;1129,1247,1232;1232,1246,1129;1232,1247,1246
1246,1115,1129;1129,1115,1128;1128,1246,1129;1128,1115,1246
1116,1115,1129;1129,1115,1232;1232,1116,1129;1232,1115,1116
1115,1231,1129;1129,1231,1232;1232,1115,1129;1232,1231,1115
1231,1246,1129;1129,1246,1232;1232,1231,1129;1232,1246,1231
1231,1115,1129;1129,1115,1246;1246,1231,1129;1246,1115,1231
1144,1033,1129;1129,1033,1019;1019,1144,1129;1019,1033,1144
1033,1018,1129;1129,1018,1019;1019,1033,1129;1019,1018,1033
1018,1004,1129;1129,1004,1019;1019,1018,1129;1019,1004,1018
1004,1117,1129;1129,1117,1019;1019,1004,1129;1019,1117,1004
1130,1144,1129;1129,1144,1019;1019,1130,1129;1019,1144,1130
1117,1130,1129;1129,1130,1019;1019,1117,1129;1019,1130,1117
1118,1131,1234;1234,1131,1117;1117,1118,1234;1117,1131,1118
1233,1117,1234;1234,1117,1248;1248,1233,1234;1248,1117,1233
1117,1130,1234;1234,1130,1248;1248,1117,1234;1248,1130,1117
1131,1249,1234;1234,1249,1248;1248,1131,1234;1248,1249,1131
1130,1131,1234;1234,1131,1248;1248,1130,1234;1248,1131,1130
1131,1130,1234;1234,1130,1117;1117,1131,1234;1117,1130,1131
1118,1103,1234;1234,1103,1104;1104,1118,1234;1104,1103,1118
1103,1219,1234;1234,1219,1104;1104,1103,1234;1104,1219,1103
1219,1220,1234;1234,1220,1104;1104,1219,1234;1104,1220,1219
1220,1235,1234;1234,1235,1104;1104,1220,1234;1104,1235,1220
1119,1118,1234;1234,1118,1104;1104,1119,1234;1104,1118,1119
1235,1119,1234;1234,1119,1104;1104,1235,1234;1104,1119,1235
660,776,789;789,776,790;790,660,789;790,776,660
675,660,789;789,660,790;790,675,789;790,660,675
775,776,789;789,776,660;660,775,789;660,776,775
675,674,789;789,674,660;660,675,789;660,674,675
674,659,789;789,659,660;660,674,789;660,659,674
659,775,789;789,775,660;660,659,789;660,775,659
1131,1021,1006;1006,1021,1132;1132,1131,1006;1132,1021,1131
1131,1118,1006;1006,1118,1005;1005,1131,1006;1005,1118,1131
1118,1131,1006;1006,1131,1132;1132,1118,1006;1132,1131,1118
1119,1118,1006;1006,1118,1132;1132,1119,1006;1132,1118,1119
1131,1020,1006;1006,1020,1021;1021,1131,1006;1021,1020,1131
1020,1131,1006;1006,1131,1005;1005,1020,1006;1005,1131,1020
223,334,209;209,334,1951;1951,223,209;1951,334,223
334,320,209;209,320,1951;1951,334,209;1951,320,334
1246,1247,1262;1262,1247,1128;1128,1246,1262;1128,1247,1246
1143,1261,1262;1262,1261,1128;1128,1143,1262;1128,1261,1143
1261,1246,1262;1262,1246,1128;1128,1261,1262;1128,1246,1261
1144,1143,1262;1262,1143,1128;1128,1144,1262;1128,1143,1144
1129,1144,1262;1262,1144,1128;1128,1129,1262;1128,1144,1129
1247,1129,1262;1262,1129,1128;1128,1247,1262;1128,1129,1247
1117,1233,1262;1262,1233,1248;1248,1117,1262;1248,1233,1117
1247,1233,1262;1262,1233,1117;1117,1247,1262;1117,1233,1247
1130,1117,1262;1262,1117,1248;1248,1130,1262;1248,1117,1130
1129,1247,1262;1262,1247,1117;1117,1129,1262;1117,1247,1129
1130,1144,1262;1262,1144,1117;1117,1130,1262;1117,1144,1130
1144,1129,1262;1262,1129,1117;1117,1144,1262;1117,1129,1144
1120,1119,1250;1250,1119,1235;1235,1120,1250;1235,1119,1120
1251,1133,1250;1250,1133,1236;1236,1251,1250;1236,1133,1251
1120,1133,1250;1250,1133,1132;1132,1120,1250;1132,1133,1120
1120,1235,1250;1250,1235,1236;1236,1120,1250;1236,1235,1120
1133,1120,1250;1250,1120,1236;1236,1133,1250;1236,1120,1133
1119,1120,1250;1250,1120,1132;1132,1119,1250;1132,1120,1119
1131,1118,1250;1250,1118,1132;1132,1131,1250;1132,1118,1131
1131,1249,1250;1250,1249,1118;1118,1131,1250;1118,1249,1131
1118,1119,1250;1250,1119,1132;1132,1118,1250;1132,1119,1118
1235,1119,1250;1250,1119,1118;1118,1235,1250;1118,1119,1235
1249,1234,1250;1250,1234,1118;1118,1249,1250;1118,1234,1249
1234,1235,1250;1250,1235,1118;1118,1234,1250;1118,1235,1234
1251,1236,1351;1351,1236,1366;1366,1251,1351;1366,1236,1251
1251,1235,1351;1351,1235,1236;1236,1251,1351;1236,1235,1251
1236,1352,1351;1351,1352,1366;1366,1236,1351;1366,1352,1236
1365,1251,1351;1351,1251,1366;1366,1365,1351;1366,1251,1365
1250,1235,1351;1351,1235,1251;1251,1250,1351;1251,1235,1250
1365,1250,1351;1351,1250,1251;1251,1365,1351;1251,1250,1365
1352,1470,1469;1469,1470,1366;1366,1352,1469;1366,1470,1352
1484,1483,1469;1469,1483,1366;1366,1484,1469;1366,1483,1484
1470,1484,1469;1469,1484,1366;1366,1470,1469;1366,1484,1470
1483,1365,1469;1469,1365,1366;1366,1483,1469;1366,1365,1483
1365,1352,1469;1469,1352,1366;1366,1365,1469;1366,1352,1365
1365,1351,1469;1469,1351,1352;1352,1365,1469;1352,1351,1365
1483,1484,1469;1469,1484,1599;1599,1483,1469;1599,1484,1483
1484,1470,1469;1469,1470,1599;1599,1484,1469;1599,1470,1484
1584,1583,1469;1469,1583,1599;1599,1584,1469;1599,1583,1584
1470,1584,1469;1469,1584,1599;1599,1470,1469;1599,1584,1470
1598,1483,1469;1469,1483,1599;1599,1598,1469;1599,1483,1598
1583,1598,1469;1469,1598,1599;1599,1583,1469;1599,1598,1583
