10,91,82,1;1,82,83,2;82,91,729,83;91,10,11,729;10,1,2,11;2,83,729,11
11,729,83,2;2,83,84,3;83,729,728,84;729,11,12,728;11,2,3,12;3,84,728,12
12,728,84,3;3,84,85,4;84,728,727,85;728,12,13,727;12,3,4,13;4,85,727,13
13,727,85,4;4,85,86,5;85,727,726,86;727,13,14,726;13,4,5,14;5,86,726,14
14,726,86,5;5,86,87,6;86,726,725,87;726,14,15,725;14,5,6,15;6,87,725,15
15,725,87,6;6,87,88,7;87,725,724,88;725,15,16,724;15,6,7,16;7,88,724,16
16,724,88,7;7,88,89,8;88,724,723,89;724,16,17,723;16,7,8,17;8,89,723,17
17,723,89,8;8,89,90,9;89,723,92,90;723,17,18,92;17,8,9,18;9,90,92,18
19,93,91,10;10,91,729,11;91,93,722,729;93,19,20,722;19,10,11,20;11,729,722,20
20,722,729,11;11,729,728,12;729,722,721,728;722,20,21,721;20,11,12,21;12,728,721,21
21,721,728,12;12,728,727,13;728,721,720,727;721,21,22,720;21,12,13,22;13,727,720,22
22,720,727,13;13,727,726,14;727,720,719,726;720,22,23,719;22,13,14,23;14,726,719,23
23,719,726,14;14,726,725,15;726,719,718,725;719,23,24,718;23,14,15,24;15,725,718,24
24,718,725,15;15,725,724,16;725,718,717,724;718,24,25,717;24,15,16,25;16,724,717,25
25,717,724,16;16,724,723,17;724,717,716,723;717,25,26,716;25,16,17,26;17,723,716,26
26,716,723,17;17,723,92,18;723,716,94,92;716,26,27,94;26,17,18,27;18,92,94,27
28,95,93,19;19,93,722,20;93,95,715,722;95,28,29,715;28,19,20,29;20,722,715,29
29,715,722,20;20,722,721,21;722,715,714,721;715,29,30,714;29,20,21,30;21,721,714,30
30,714,721,21;21,721,720,22;721,714,713,720;714,30,31,713;30,21,22,31;22,720,713,31
31,713,720,22;22,720,719,23;720,713,712,719;713,31,32,712;31,22,23,32;23,719,712,32
32,712,719,23;23,719,718,24;719,712,711,718;712,32,33,711;32,23,24,33;24,718,711,33
33,711,718,24;24,718,717,25;718,711,710,717;711,33,34,710;33,24,25,34;25,717,710,34
34,710,717,25;25,717,716,26;717,710,709,716;710,34,35,709;34,25,26,35;26,716,709,35
35,709,716,26;26,716,94,27;716,709,96,94;709,35,36,96;35,26,27,36;27,94,96,36
37,97,95,28;28,95,715,29;95,97,708,715;97,37,38,708;37,28,29,38;29,715,708,38
38,708,715,29;29,715,714,30;715,708,707,714;708,38,39,707;38,29,30,39;30,714,707,39
39,707,714,30;30,714,713,31;714,707,706,713;707,39,40,706;39,30,31,40;31,713,706,40
40,706,713,31;31,713,712,32;713,706,705,712;706,40,41,705;40,31,32,41;32,712,705,41
41,705,712,32;32,712,711,33;712,705,704,711;705,41,42,704;41,32,33,42;33,711,704,42
42,704,711,33;33,711,710,34;711,704,703,710;704,42,43,703;42,33,34,43;34,710,703,43
43,703,710,34;34,710,709,35;710,703,702,709;703,43,44,702;43,34,35,44;35,709,702,44
44,702,709,35;35,709,96,36;709,702,98,96;702,44,45,98;44,35,36,45;36,96,98,45
46,99,97,37;37,97,708,38;97,99,701,708;99,46,47,701;46,37,38,47;38,708,701,47
47,701,708,38;38,708,707,39;708,701,700,707;701,47,48,700;47,38,39,48;39,707,700,48
48,700,707,39;39,707,706,40;707,700,699,706;700,48,49,699;48,39,40,49;40,706,699,49
49,699,706,40;40,706,705,41;706,699,698,705;699,49,50,698;49,40,41,50;41,705,698,50
50,698,705,41;41,705,704,42;705,698,697,704;698,50,51,697;50,41,42,51;42,704,697,51
51,697,704,42;42,704,703,43;704,697,696,703;697,51,52,696;51,42,43,52;43,703,696,52
52,696,703,43;43,703,702,44;703,696,695,702;696,52,53,695;52,43,44,53;44,702,695,53
53,695,702,44;44,702,98,45;702,695,100,98;695,53,54,100;53,44,45,54;45,98,100,54
55,101,99,46;46,99,701,47;99,101,694,701;101,55,56,694;55,46,47,56;47,701,694,56
56,694,701,47;47,701,700,48;701,694,693,700;694,56,57,693;56,47,48,57;48,700,693,57
57,693,700,48;48,700,699,49;700,693,692,699;693,57,58,692;57,48,49,58;49,699,692,58
58,692,699,49;49,699,698,50;699,692,691,698;692,58,59,691;58,49,50,59;50,698,691,59
59,691,698,50;50,698,697,51;698,691,690,697;691,59,60,690;59,50,51,60;51,697,690,60
60,690,697,51;51,697,696,52;697,690,689,696;690,60,61,689;60,51,52,61;52,696,689,61
61,689,696,52;52,696,695,53;696,689,688,695;689,61,62,688;61,52,53,62;53,695,688,62
62,688,695,53;53,695,100,54;695,688,102,100;688,62,63,102;62,53,54,63;54,100,102,63
64,103,101,55;55,101,694,56;101,103,687,694;103,64,65,687;64,55,56,65;56,694,687,65
65,687,694,56;56,694,693,57;694,687,686,693;687,65,66,686;65,56,57,66;57,693,686,66
66,686,693,57;57,693,692,58;693,686,685,692;686,66,67,685;66,57,58,67;58,692,685,67
67,685,692,58;58,692,691,59;692,685,684,691;685,67,68,684;67,58,59,68;59,691,684,68
68,684,691,59;59,691,690,60;691,684,683,690;684,68,69,683;68,59,60,69;60,690,683,69
69,683,690,60;60,690,689,61;690,683,682,689;683,69,70,682;69,60,61,70;61,689,682,70
70,682,689,61;61,689,688,62;689,682,681,688;682,70,71,681;70,61,62,71;62,688,681,71
71,681,688,62;62,688,102,63;688,681,104,102;681,71,72,104;71,62,63,72;63,102,104,72
73,105,103,64;64,103,687,65;103,105,106,687;105,73,74,106;73,64,65,74;65,687,106,74
74,106,687,65;65,687,686,66;687,106,107,686;106,74,75,107;74,65,66,75;66,686,107,75
75,107,686,66;66,686,685,67;686,107,108,685;107,75,76,108;75,66,67,76;67,685,108,76
76,108,685,67;67,685,684,68;685,108,109,684;108,76,77,109;76,67,68,77;68,684,109,77
77,109,684,68;68,684,683,69;684,109,110,683;109,77,78,110;77,68,69,78;69,683,110,78
78,110,683,69;69,683,682,70;683,110,111,682;110,78,79,111;78,69,70,79;70,682,111,79
79,111,682,70;70,682,681,71;682,111,112,681;111,79,80,112;79,70,71,80;71,681,112,80
80,112,681,71;71,681,104,72;681,112,113,104;112,80,81,113;80,71,72,81;72,104,113,81
91,123,114,82;82,114,115,83;114,123,680,115;123,91,729,680;91,82,83,729;83,115,680,729
729,680,115,83;83,115,116,84;115,680,679,116;680,729,728,679;729,83,84,728;84,116,679,728
728,679,116,84;84,116,117,85;116,679,678,117;679,728,727,678;728,84,85,727;85,117,678,727
727,678,117,85;85,117,118,86;117,678,677,118;678,727,726,677;727,85,86,726;86,118,677,726
726,677,118,86;86,118,119,87;118,677,676,119;677,726,725,676;726,86,87,725;87,119,676,725
725,676,119,87;87,119,120,88;119,676,675,120;676,725,724,675;725,87,88,724;88,120,675,724
724,675,120,88;88,120,121,89;120,675,674,121;675,724,723,674;724,88,89,723;89,121,674,723
723,674,121,89;89,121,122,90;121,674,124,122;674,723,92,124;723,89,90,92;90,122,124,92
93,125,123,91;91,123,680,729;123,125,673,680;125,93,722,673;93,91,729,722;729,680,673,722
722,673,680,729;729,680,679,728;680,673,672,679;673,722,721,672;722,729,728,721;728,679,672,721
721,672,679,728;728,679,678,727;679,672,671,678;672,721,720,671;721,728,727,720;727,678,671,720
720,671,678,727;727,678,677,726;678,671,670,677;671,720,719,670;720,727,726,719;726,677,670,719
719,670,677,726;726,677,676,725;677,670,669,676;670,719,718,669;719,726,725,718;725,676,669,718
718,669,676,725;725,676,675,724;676,669,668,675;669,718,717,668;718,725,724,717;724,675,668,717
717,668,675,724;724,675,674,723;675,668,667,674;668,717,716,667;717,724,723,716;723,674,667,716
716,667,674,723;723,674,124,92;674,667,126,124;667,716,94,126;716,723,92,94;92,124,126,94
95,127,125,93;93,125,673,722;125,127,666,673;127,95,715,666;95,93,722,715;722,673,666,715
715,666,673,722;722,673,672,721;673,666,665,672;666,715,714,665;715,722,721,714;721,672,665,714
714,665,672,721;721,672,671,720;672,665,664,671;665,714,713,664;714,721,720,713;720,671,664,713
713,664,671,720;720,671,670,719;671,664,663,670;664,713,712,663;713,720,719,712;719,670,663,712
712,663,670,719;719,670,669,718;670,663,662,669;663,712,711,662;712,719,718,711;718,669,662,711
711,662,669,718;718,669,668,717;669,662,661,668;662,711,710,661;711,718,717,710;717,668,661,710
710,661,668,717;717,668,667,716;668,661,660,667;661,710,709,660;710,717,716,709;716,667,660,709
709,660,667,716;716,667,126,94;667,660,128,126;660,709,96,128;709,716,94,96;94,126,128,96
97,129,127,95;95,127,666,715;127,129,659,666;129,97,708,659;97,95,715,708;715,666,659,708
708,659,666,715;715,666,665,714;666,659,658,665;659,708,707,658;708,715,714,707;714,665,658,707
707,658,665,714;714,665,664,713;665,658,657,664;658,707,706,657;707,714,713,706;713,664,657,706
706,657,664,713;713,664,663,712;664,657,656,663;657,706,705,656;706,713,712,705;712,663,656,705
705,656,663,712;712,663,662,711;663,656,655,662;656,705,704,655;705,712,711,704;711,662,655,704
704,655,662,711;711,662,661,710;662,655,654,661;655,704,703,654;704,711,710,703;710,661,654,703
703,654,661,710;710,661,660,709;661,654,653,660;654,703,702,653;703,710,709,702;709,660,653,702
702,653,660,709;709,660,128,96;660,653,130,128;653,702,98,130;702,709,96,98;96,128,130,98
99,131,129,97;97,129,659,708;129,131,652,659;131,99,701,652;99,97,708,701;708,659,652,701
701,652,659,708;708,659,658,707;659,652,651,658;652,701,700,651;701,708,707,700;707,658,651,700
700,651,658,707;707,658,657,706;658,651,650,657;651,700,699,650;700,707,706,699;706,657,650,699
699,650,657,706;706,657,656,705;657,650,649,656;650,699,698,649;699,706,705,698;705,656,649,698
698,649,656,705;705,656,655,704;656,649,648,655;649,698,697,648;698,705,704,697;704,655,648,697
697,648,655,704;704,655,654,703;655,648,647,654;648,697,696,647;697,704,703,696;703,654,647,696
696,647,654,703;703,654,653,702;654,647,646,653;647,696,695,646;696,703,702,695;702,653,646,695
695,646,653,702;702,653,130,98;653,646,132,130;646,695,100,132;695,702,98,100;98,130,132,100
101,133,131,99;99,131,652,701;131,133,645,652;133,101,694,645;101,99,701,694;701,652,645,694
694,645,652,701;701,652,651,700;652,645,644,651;645,694,693,644;694,701,700,693;700,651,644,693
693,644,651,700;700,651,650,699;651,644,643,650;644,693,692,643;693,700,699,692;699,650,643,692
692,643,650,699;699,650,649,698;650,643,642,649;643,692,691,642;692,699,698,691;698,649,642,691
691,642,649,698;698,649,648,697;649,642,641,648;642,691,690,641;691,698,697,690;697,648,641,690
690,641,648,697;697,648,647,696;648,641,640,647;641,690,689,640;690,697,696,689;696,647,640,689
689,640,647,696;696,647,646,695;647,640,639,646;640,689,688,639;689,696,695,688;695,646,639,688
688,639,646,695;695,646,132,100;646,639,134,132;639,688,102,134;688,695,100,102;100,132,134,102
103,135,133,101;101,133,645,694;133,135,638,645;135,103,687,638;103,101,694,687;694,645,638,687
687,638,645,694;694,645,644,693;645,638,637,644;638,687,686,637;687,694,693,686;693,644,637,686
686,637,644,693;693,644,643,692;644,637,636,643;637,686,685,636;686,693,692,685;692,643,636,685
685,636,643,692;692,643,642,691;643,636,635,642;636,685,684,635;685,692,691,684;691,642,635,684
684,635,642,691;691,642,641,690;642,635,634,641;635,684,683,634;684,691,690,683;690,641,634,683
