12,3,9;12,3,32;12,9,32;32,3,9
12,6,3;12,6,32;12,3,32;32,6,3
10,7,13;10,7,33;10,13,33;33,7,13
10,4,7;10,4,33;10,7,33;33,4,7
30,21,27;30,21,32;30,27,32;32,21,27
30,24,21;30,24,32;30,21,32;32,24,21
30,27,3;30,27,32;30,3,32;32,27,3
30,3,6;30,3,32;30,6,32;32,3,6
15,9,3;15,9,32;15,3,32;32,9,3
15,27,21;15,27,32;15,21,32;32,27,21
15,3,27;15,3,32;15,27,32;32,3,27
15,27,3;15,27,1;15,3,1;1,27,3
15,3,9;15,3,1;15,9,1;1,3,9
15,21,27;15,21,1;15,27,1;1,21,27
8,6,11;8,6,5;8,11,5;5,6,11
8,3,6;8,3,5;8,6,5;5,3,6
8,9,6;8,9,3;8,6,3;3,9,6
8,6,12;8,6,11;8,12,11;11,6,12
8,12,6;8,12,9;8,6,9;9,12,6
8,2,3;8,2,5;8,3,5;5,2,3
8,11,13;8,11,5;8,13,5;5,11,13
8,13,10;8,13,4;8,10,4;4,13,10
8,7,13;8,7,4;8,13,4;4,7,13
8,4,2;8,4,5;8,2,5;5,4,2
8,13,7;8,13,5;8,7,5;5,13,7
8,7,4;8,7,5;8,4,5;5,7,4
8,15,9;8,15,1;8,9,1;1,15,9
8,14,15;8,14,1;8,15,1;1,14,15
8,9,3;8,9,1;8,3,1;1,9,3
8,3,2;8,3,1;8,2,1;1,3,2
8,4,10;8,4,1;8,10,1;1,4,10
8,2,4;8,2,1;8,4,1;1,2,4
16,28,22;16,28,1;16,22,1;1,28,22
16,10,4;16,10,1;16,4,1;1,10,4
16,4,28;16,4,1;16,28,1;1,4,28
16,14,8;16,14,1;16,8,1;1,14,8
16,8,10;16,8,1;16,10,1;1,8,10
16,17,13;16,17,11;16,13,11;11,17,13
16,14,17;16,14,11;16,17,11;11,14,17
16,13,10;16,13,11;16,10,11;11,13,10
16,19,13;16,19,17;16,13,17;17,19,13
16,8,14;16,8,11;16,14,11;11,8,14
16,10,8;16,10,11;16,8,11;11,10,8
16,4,10;16,4,33;16,10,33;33,4,10
16,22,28;16,22,33;16,28,33;33,22,28
16,28,4;16,28,33;16,4,33;33,28,4
16,19,25;16,19,33;16,25,33;33,19,25
16,25,22;16,25,33;16,22,33;33,25,22
16,10,13;16,10,33;16,13,33;33,10,13
16,13,19;16,13,33;16,19,33;33,13,19
31,7,4;31,7,33;31,4,33;33,7,4
31,4,28;31,4,33;31,28,33;33,4,28
31,28,22;31,28,33;31,22,33;33,28,22
31,22,25;31,22,33;31,25,33;33,22,25
26,29,6;26,29,5;26,6,5;5,29,6
26,6,3;26,6,5;26,3,5;5,6,3
26,6,27;26,6,3;26,27,3;3,6,27
26,30,27;26,30,6;26,27,6;6,30,27
26,3,2;26,3,5;26,2,5;5,3,2
26,30,6;26,30,29;26,6,29;29,30,6
26,2,4;26,2,5;26,4,5;5,2,4
26,4,7;26,4,5;26,7,5;5,4,7
26,7,29;26,7,5;26,29,5;5,7,29
26,28,31;26,28,7;26,31,7;7,28,31
26,28,7;26,28,4;26,7,4;4,28,7
26,7,31;26,7,29;26,31,29;29,7,31
26,3,27;26,3,1;26,27,1;1,3,27
26,2,3;26,2,1;26,3,1;1,2,3
26,28,4;26,28,1;26,4,1;1,28,4
26,4,2;26,4,1;26,2,1;1,4,2
18,17,14;18,17,11;18,14,11;11,17,14
18,14,15;18,14,9;18,15,9;9,14,15
18,9,12;18,9,11;18,12,11;11,9,12
18,8,14;18,8,9;18,14,9;9,8,14
18,8,9;18,8,11;18,9,11;11,8,9
18,14,8;18,14,11;18,8,11;11,14,8
18,12,9;18,12,32;18,9,32;32,12,9
18,9,15;18,9,32;18,15,32;32,9,15
18,21,24;18,21,32;18,24,32;32,21,24
18,15,21;18,15,32;18,21,32;32,15,21
20,24,29;20,24,23;20,29,23;23,24,29
20,27,24;20,27,21;20,24,21;21,27,24
20,24,30;20,24,29;20,30,29;29,24,30
20,30,27;20,30,29;20,27,29;29,30,27
20,27,30;20,27,24;20,30,24;24,27,30
20,27,26;20,27,29;20,26,29;29,27,26
20,29,25;20,29,23;20,25,23;23,29,25
20,25,28;20,25,22;20,28,22;22,25,28
20,31,25;20,31,29;20,25,29;29,31,25
20,28,31;20,28,29;20,31,29;29,28,31
20,31,28;20,31,25;20,28,25;25,31,28
20,26,28;20,26,29;20,28,29;29,26,28
20,25,17;20,25,23;20,17,23;23,25,17
20,19,16;20,19,14;20,16,14;14,19,16
20,19,14;20,19,17;20,14,17;17,19,14
20,19,25;20,19,22;20,25,22;22,19,25
20,25,19;20,25,17;20,19,17;17,25,19
20,16,19;20,16,22;20,19,22;22,16,19
20,17,24;20,17,23;20,24,23;23,17,24
20,18,15;20,18,24;20,15,24;24,18,15
20,14,15;20,14,17;20,15,17;17,14,15
20,24,15;20,24,21;20,15,21;21,24,15
20,18,24;20,18,17;20,24,17;17,18,24
20,15,18;20,15,17;20,18,17;17,15,18
20,27,21;20,27,1;20,21,1;1,27,21
20,26,27;20,26,1;20,27,1;1,26,27
20,22,28;20,22,1;20,28,1;1,22,28
20,28,26;20,28,1;20,26,1;1,28,26
20,21,15;20,21,1;20,15,1;1,21,15
20,15,14;20,15,1;20,14,1;1,15,14
20,16,22;20,16,1;20,22,1;1,16,22
20,14,16;20,14,1;20,16,1;1,14,16
