250,19,243;250,19,254;250,243,254;254,19,243
250,26,19;250,26,254;250,19,254;254,26,19
54,47,19;54,47,254;54,19,254;254,47,19
54,19,26;54,19,254;54,26,254;254,19,26
195,188,216;195,188,255;195,216,255;255,188,216
195,216,223;195,216,255;195,223,255;255,216,223
72,51,85;72,51,79;72,85,79;79,51,85
72,57,85;72,57,51;72,85,51;51,57,85
72,57,78;72,57,85;72,78,85;85,57,78
72,57,51;72,57,44;72,51,44;44,57,51
72,50,78;72,50,57;72,78,57;57,50,78
72,50,57;72,50,44;72,57,44;44,50,57
16,57,51;16,57,23;16,51,23;23,57,51
16,51,57;16,51,44;16,57,44;44,51,57
16,29,57;16,29,23;16,57,23;23,29,57
16,29,50;16,29,57;16,50,57;57,29,50
16,57,50;16,57,44;16,50,44;44,57,50
16,22,50;16,22,29;16,50,29;29,22,50
160,168,167;160,168,196;160,167,196;196,168,167
160,196,188;160,196,189;160,188,189;189,196,188
160,168,196;160,168,189;160,196,189;189,168,196
160,161,168;160,161,189;160,168,189;189,161,168
160,167,195;160,167,196;160,195,196;196,167,195
160,195,188;160,195,196;160,188,196;196,195,188
160,167,139;160,167,255;160,139,255;255,167,139
160,139,132;160,139,255;160,132,255;255,139,132
160,195,167;160,195,255;160,167,255;255,195,167
160,188,195;160,188,255;160,195,255;255,188,195
21,57,29;21,57,56;21,29,56;56,57,29
21,57,56;21,57,49;21,56,49;49,57,56
21,29,28;21,29,56;21,28,56;56,29,28
21,50,29;21,50,57;21,29,57;57,50,29
21,50,57;21,50,49;21,57,49;49,50,57
21,50,22;21,50,29;21,22,29;29,50,22
131,138,166;131,138,254;131,166,254;254,138,166
131,166,159;131,166,254;131,159,254;254,166,159
137,159,166;137,159,165;137,166,165;165,159,166
137,158,130;137,158,159;137,130,159;159,158,130
137,159,138;137,159,166;137,138,166;166,159,138
137,158,159;137,158,165;137,159,165;165,158,159
137,130,131;137,130,159;137,131,159;159,130,131
137,131,138;137,131,159;137,138,159;159,131,138
106,85,113;106,85,79;106,113,79;79,85,113
106,78,85;106,78,79;106,85,79;79,78,85
106,113,107;106,113,79;106,107,79;79,113,107
106,107,100;106,107,79;106,100,79;79,107,100
106,100,72;106,100,79;106,72,79;79,100,72
106,72,78;106,72,79;106,78,79;79,72,78
73,52,80;73,52,53;73,80,53;53,52,80
73,52,53;73,52,46;73,53,46;46,52,53
73,45,52;73,45,46;73,52,46;46,45,52
73,80,81;73,80,53;73,81,53;53,80,81
73,53,81;73,53,46;73,81,46;46,53,81
73,81,74;73,81,46;73,74,46;46,81,74
73,80,51;73,80,79;73,51,79;79,80,51
73,80,52;73,80,51;73,52,51;51,80,52
73,51,44;73,51,79;73,44,79;79,51,44
73,52,45;73,52,44;73,45,44;44,52,45
73,51,52;73,51,44;73,52,44;44,51,52
73,44,72;73,44,79;73,72,79;79,44,72
25,47,53;25,47,46;25,53,46;46,47,53
25,19,47;25,19,46;25,47,46;46,19,47
25,19,26;25,19,47;25,26,47;47,19,26
25,26,54;25,26,47;25,54,47;47,26,54
25,47,54;25,47,53;25,54,53;53,47,54
25,18,19;25,18,46;25,19,46;46,18,19
17,52,51;17,52,44;17,51,44;44,52,51
17,51,52;17,51,23;17,52,23;23,51,52
17,52,24;17,52,23;17,24,23;23,52,24
17,44,51;17,44,23;17,51,23;23,44,51
17,45,52;17,45,44;17,52,44;44,45,52
17,16,44;17,16,23;17,44,23;23,16,44
17,24,52;17,24,53;17,52,53;53,24,52
17,53,52;17,53,46;17,52,46;46,53,52
17,52,45;17,52,46;17,45,46;46,52,45
17,18,25;17,18,53;17,25,53;53,18,25
17,18,53;17,18,46;17,53,46;46,18,53
17,25,24;17,25,53;17,24,53;53,25,24
222,243,215;222,243,254;222,215,254;254,243,215
222,250,243;222,250,254;222,243,254;254,250,243
104,139,111;104,139,255;104,111,255;255,139,111
104,132,139;104,132,255;104,139,255;255,132,139
83,76,104;83,76,255;83,104,255;255,76,104
83,104,111;83,104,255;83,111,255;255,104,111
244,223,216;244,223,255;244,216,255;255,223,216
244,251,223;244,251,255;244,223,255;255,251,223
253,245,28;253,245,252;253,28,252;252,245,28
253,28,22;253,28,29;253,22,29;29,28,22
253,21,28;253,21,245;253,28,245;245,21,28
253,21,22;253,21,28;253,22,28;28,21,22
253,22,21;253,22,245;253,21,245;245,22,21
253,246,22;253,246,245;253,22,245;245,246,22
240,24,247;240,24,23;240,247,23;23,24,247
240,16,24;240,16,23;240,24,23;23,16,24
240,248,247;240,248,24;240,247,24;24,248,247
240,241,248;240,241,24;240,248,24;24,241,248
240,16,17;240,16,24;240,17,24;24,16,17
240,17,241;240,17,24;240,241,24;24,17,241
240,247,29;240,247,23;240,29,23;23,247,29
240,29,22;240,29,23;240,22,23;23,29,22
240,22,16;240,22,23;240,16,23;23,22,16
240,253,246;240,253,29;240,246,29;29,253,246
240,246,22;240,246,29;240,22,29;29,246,22
240,253,29;240,253,247;240,29,247;247,253,29
240,212,218;240,212,219;240,218,219;219,212,218
240,218,225;240,218,219;240,225,219;219,218,225
240,225,247;240,225,219;240,247,219;219,225,247
240,246,253;240,246,225;240,253,225;225,246,253
240,246,225;240,246,218;240,225,218;218,246,225
240,225,253;240,225,247;240,253,247;247,225,253
187,166,165;187,166,193;187,165,193;193,166,165
187,193,165;187,193,186;187,165,186;186,193,165
187,166,159;187,166,165;187,159,165;165,166,159
187,159,158;187,159,165;187,158,165;165,159,158
187,165,158;187,165,186;187,158,186;186,165,158
187,194,166;187,194,193;187,166,193;193,194,166
187,194,222;187,194,254;187,222,254;254,194,222
187,222,215;187,222,254;187,215,254;254,222,215
