1863,1864,1744;1863,1864,1759;1863,1744,1759;1759,1864,1744
1863,1744,1743;1863,1744,1759;1863,1743,1759;1759,1744,1743
1863,1743,1758;1863,1743,1759;1863,1758,1759;1759,1743,1758
1863,1758,1878;1863,1758,1759;1863,1878,1759;1759,1758,1878
1863,1878,1879;1863,1878,1759;1863,1879,1759;1759,1878,1879
1863,1879,1864;1863,1879,1759;1863,1864,1759;1759,1879,1864
932,947,961;932,947,1067;932,961,1067;1067,947,961
932,946,1066;932,946,961;932,1066,961;961,946,1066
932,961,1081;932,961,1067;932,1081,1067;1067,961,1081
932,1081,1066;932,1081,1067;932,1066,1067;1067,1081,1066
932,1066,1081;932,1066,961;932,1081,961;961,1066,1081
932,1066,1052;932,1066,1067;932,1052,1067;1067,1066,1052
693,589,694;693,589,574;693,694,574;574,589,694
693,589,709;693,589,694;693,709,694;694,589,709
693,573,589;693,573,574;693,589,574;574,573,589
693,708,709;693,708,589;693,709,589;589,708,709
693,588,708;693,588,589;693,708,589;589,588,708
693,573,588;693,573,589;693,588,589;589,573,588
715,595,580;715,595,2043;715,580,2043;2043,595,580
715,580,700;715,580,2043;715,700,2043;2043,580,700
695,694,814;695,694,829;695,814,829;829,694,814
695,830,829;695,830,815;695,829,815;815,830,829
695,829,814;695,829,815;695,814,815;815,829,814
695,709,829;695,709,830;695,829,830;830,709,829
695,709,694;695,709,829;695,694,829;829,709,694
695,710,709;695,710,830;695,709,830;830,710,709
1423,1558,1559;1423,1558,1439;1423,1559,1439;1439,1558,1559
1423,1559,1544;1423,1559,1439;1423,1544,1439;1439,1559,1544
1423,1438,1558;1423,1438,1439;1423,1558,1439;1439,1438,1558
1423,1544,1559;1423,1544,1558;1423,1559,1558;1558,1544,1559
1423,1543,1544;1423,1543,1558;1423,1544,1558;1558,1543,1544
1423,1544,1424;1423,1544,1439;1423,1424,1439;1439,1544,1424
459,354,474;459,354,2042;459,474,2042;2042,354,474
459,339,354;459,339,2042;459,354,2042;2042,339,354
459,474,594;459,474,2042;459,594,2042;2042,474,594
459,594,579;459,594,2042;459,579,2042;2042,594,579
1174,1175,1295;1174,1175,1160;1174,1295,1160;1160,1175,1295
1174,1295,1280;1174,1295,1160;1174,1280,1160;1160,1295,1280
1174,1280,1159;1174,1280,1160;1174,1159,1160;1160,1280,1159
1174,1295,1294;1174,1295,1280;1174,1294,1280;1280,1295,1294
1174,1294,1279;1174,1294,1280;1174,1279,1280;1280,1294,1279
1174,1279,1159;1174,1279,1280;1174,1159,1280;1280,1279,1159
1068,1053,1173;1068,1053,1172;1068,1173,1172;1172,1053,1173
1068,1173,1188;1068,1173,1172;1068,1188,1172;1172,1173,1188
1068,1052,1053;1068,1052,1172;1068,1053,1172;1172,1052,1053
1068,1188,1187;1068,1188,1172;1068,1187,1172;1172,1188,1187
1068,1052,1172;1068,1052,1067;1068,1172,1067;1067,1052,1172
1068,1172,1187;1068,1172,1067;1068,1187,1067;1067,1172,1187
1186,1306,1305;1186,1306,1291;1186,1305,1291;1291,1306,1305
1186,1170,1305;1186,1170,1185;1186,1305,1185;1185,1170,1305
1186,1170,1171;1186,1170,1291;1186,1171,1291;1291,1170,1171
1186,1290,1170;1186,1290,1291;1186,1170,1291;1291,1290,1170
1186,1305,1290;1186,1305,1291;1186,1290,1291;1291,1305,1290
1186,1170,1290;1186,1170,1305;1186,1290,1305;1305,1170,1290
1186,1081,1201;1186,1081,1067;1186,1201,1067;1067,1081,1201
1186,1066,1081;1186,1066,1067;1186,1081,1067;1067,1066,1081
1186,1052,1066;1186,1052,1067;1186,1066,1067;1067,1052,1066
1186,1172,1052;1186,1172,1067;1186,1052,1067;1067,1172,1052
1186,1201,1187;1186,1201,1067;1186,1187,1067;1067,1201,1187
1186,1187,1172;1186,1187,1067;1186,1172,1067;1067,1187,1172
1293,1188,1173;1293,1188,1172;1293,1173,1172;1172,1188,1173
1293,1172,1292;1293,1172,1307;1293,1292,1307;1307,1172,1292
