23,8,7;23,8,12;23,7,12;12,8,7
23,7,22;23,7,12;23,22,12;12,7,22
23,28,13;23,28,12;23,13,12;12,28,13
23,13,8;23,13,12;23,8,12;12,13,8
23,27,28;23,27,12;23,28,12;12,27,28
23,22,27;23,22,12;23,27,12;12,22,27
67,58,57;67,58,72;67,57,72;72,58,57
67,52,57;67,52,58;67,57,58;58,52,57
67,73,68;67,73,58;67,68,58;58,73,68
67,73,58;67,73,72;67,58,72;72,73,58
67,53,52;67,53,58;67,52,58;58,53,52
67,68,53;67,68,58;67,53,58;58,68,53
67,57,52;67,57,61;67,52,61;61,57,52
67,71,76;67,71,61;67,76,61;61,71,76
67,57,61;67,57,72;67,61,72;72,57,61
67,61,76;67,61,72;67,76,72;72,61,76
67,52,56;67,52,61;67,56,61;61,52,56
67,56,71;67,56,61;67,71,61;61,56,71
37,58,43;37,58,42;37,43,42;42,58,43
37,38,43;37,38,58;37,43,58;58,38,43
37,57,58;37,57,42;37,58,42;42,57,58
37,57,52;37,57,58;37,52,58;58,57,52
37,53,38;37,53,58;37,38,58;58,53,38
37,52,53;37,52,58;37,53,58;58,52,53
37,43,38;37,43,28;37,38,28;28,43,38
37,43,28;37,43,42;37,28,42;42,43,28
37,28,27;37,28,42;37,27,42;42,28,27
37,22,27;37,22,28;37,27,28;28,22,27
37,38,23;37,38,28;37,23,28;28,38,23
37,23,22;37,23,28;37,22,28;28,23,22
99,104,14;99,104,107;99,14,107;107,104,14
99,14,9;99,14,107;99,9,107;107,14,9
24,14,13;24,14,28;24,13,28;28,14,13
24,13,8;24,13,28;24,8,28;28,13,8
24,29,14;24,29,28;24,14,28;28,29,14
24,13,14;24,13,8;24,14,8;8,13,14
24,8,23;24,8,28;24,23,28;28,8,23
24,14,9;24,14,8;24,9,8;8,14,9
24,38,43;24,38,28;24,43,28;28,38,43
24,43,29;24,43,28;24,29,28;28,43,29
24,23,38;24,23,28;24,38,28;28,23,38
24,44,29;24,44,43;24,29,43;43,44,29
