1,22,25,4;1,22,23,2;22,25,26,23;25,4,5,26;4,1,2,5;2,23,26,5
2,23,26,5;2,23,24,3;23,26,27,24;26,5,6,27;5,2,3,6;3,24,27,6
4,25,30,9;4,25,26,5;25,30,31,26;30,9,10,31;9,4,5,10;5,26,31,10
5,26,31,10;5,26,27,6;26,31,32,27;31,10,11,32;10,5,6,11;6,27,32,11
7,28,33,12;7,28,29,8;28,33,34,29;33,12,13,34;12,7,8,13;8,29,34,13
8,29,34,13;8,29,30,9;29,34,35,30;34,13,14,35;13,8,9,14;9,30,35,14
9,30,35,14;9,30,31,10;30,35,36,31;35,14,15,36;14,9,10,15;10,31,36,15
10,31,36,15;10,31,32,11;31,36,37,32;36,15,16,37;15,10,11,16;11,32,37,16
12,33,38,17;12,33,34,13;33,38,39,34;38,17,18,39;17,12,13,18;13,34,39,18
13,34,39,18;13,34,35,14;34,39,40,35;39,18,19,40;18,13,14,19;14,35,40,19
14,35,40,19;14,35,36,15;35,40,41,36;40,19,20,41;19,14,15,20;15,36,41,20
15,36,41,20;15,36,37,16;36,41,42,37;41,20,21,42;20,15,16,21;16,37,42,21
22,45,50,25;22,45,46,23;45,50,51,46;50,25,26,51;25,22,23,26;23,46,51,26
23,46,51,26;23,46,47,24;46,51,52,47;51,26,27,52;26,23,24,27;24,47,52,27
25,50,55,30;25,50,51,26;50,55,56,51;55,30,31,56;30,25,26,31;26,51,56,31
26,51,56,31;26,51,52,27;51,56,57,52;56,31,32,57;31,26,27,32;27,52,57,32
28,53,58,33;28,53,54,29;53,58,59,54;58,33,34,59;33,28,29,34;29,54,59,34
29,54,59,34;29,54,55,30;54,59,60,55;59,34,35,60;34,29,30,35;30,55,60,35
30,55,60,35;30,55,56,31;55,60,61,56;60,35,36,61;35,30,31,36;31,56,61,36
31,56,61,36;31,56,57,32;56,61,62,57;61,36,37,62;36,31,32,37;32,57,62,37
33,58,63,38;33,58,59,34;58,63,64,59;63,38,39,64;38,33,34,39;34,59,64,39
34,59,64,39;34,59,60,35;59,64,65,60;64,39,40,65;39,34,35,40;35,60,65,40
35,60,65,40;35,60,61,36;60,65,66,61;65,40,41,66;40,35,36,41;36,61,66,41
36,61,66,41;36,61,62,37;61,66,67,62;66,41,42,67;41,36,37,42;37,62,67,42
43,68,73,48;43,68,69,44;68,73,74,69;73,48,49,74;48,43,44,49;44,69,74,49
44,69,74,49;44,69,70,45;69,74,75,70;74,49,50,75;49,44,45,50;45,70,75,50
45,70,75,50;45,70,71,46;70,75,76,71;75,50,51,76;50,45,46,51;46,71,76,51
46,71,76,51;46,71,72,47;71,76,77,72;76,51,52,77;51,46,47,52;47,72,77,52
48,73,78,53;48,73,74,49;73,78,79,74;78,53,54,79;53,48,49,54;49,74,79,54
49,74,79,54;49,74,75,50;74,79,80,75;79,54,55,80;54,49,50,55;50,75,80,55
50,75,80,55;50,75,76,51;75,80,81,76;80,55,56,81;55,50,51,56;51,76,81,56
51,76,81,56;51,76,77,52;76,81,82,77;81,56,57,82;56,51,52,57;52,77,82,57
53,78,83,58;53,78,79,54;78,83,84,79;83,58,59,84;58,53,54,59;54,79,84,59
54,79,84,59;54,79,80,55;79,84,85,80;84,59,60,85;59,54,55,60;55,80,85,60
55,80,85,60;55,80,81,56;80,85,86,81;85,60,61,86;60,55,56,61;56,81,86,61
56,81,86,61;56,81,82,57;81,86,87,82;86,61,62,87;61,56,57,62;57,82,87,62
58,83,88,63;58,83,84,59;83,88,89,84;88,63,64,89;63,58,59,64;59,84,89,64
59,84,89,64;59,84,85,60;84,89,90,85;89,64,65,90;64,59,60,65;60,85,90,65
60,85,90,65;60,85,86,61;85,90,91,86;90,65,66,91;65,60,61,66;61,86,91,66
61,86,91,66;61,86,87,62;86,91,92,87;91,66,67,92;66,61,62,67;62,87,92,67
68,93,98,73;68,93,94,69;93,98,99,94;98,73,74,99;73,68,69,74;69,94,99,74
69,94,99,74;69,94,95,70;94,99,100,95;99,74,75,100;74,69,70,75;70,95,100,75
70,95,100,75;70,95,96,71;95,100,101,96;100,75,76,101;75,70,71,76;71,96,101,76
71,96,101,76;71,96,97,72;96,101,102,97;101,76,77,102;76,71,72,77;72,97,102,77
73,98,103,78;73,98,99,74;98,103,104,99;103,78,79,104;78,73,74,79;74,99,104,79
74,99,104,79;74,99,100,75;99,104,105,100;104,79,80,105;79,74,75,80;75,100,105,80
75,100,105,80;75,100,101,76;100,105,106,101;105,80,81,106;80,75,76,81;76,101,106,81
76,101,106,81;76,101,102,77;101,106,107,102;106,81,82,107;81,76,77,82;77,102,107,82
78,103,108,83;78,103,104,79;103,108,109,104;108,83,84,109;83,78,79,84;79,104,109,84
79,104,109,84;79,104,105,80;104,109,110,105;109,84,85,110;84,79,80,85;80,105,110,85
80,105,110,85;80,105,106,81;105,110,111,106;110,85,86,111;85,80,81,86;81,106,111,86
81,106,111,86;81,106,107,82;106,111,112,107;111,86,87,112;86,81,82,87;82,107,112,87
83,108,113,88;83,108,109,84;108,113,114,109;113,88,89,114;88,83,84,89;84,109,114,89
84,109,114,89;84,109,110,85;109,114,115,110;114,89,90,115;89,84,85,90;85,110,115,90
85,110,115,90;85,110,111,86;110,115,116,111;115,90,91,116;90,85,86,91;86,111,116,91
86,111,116,91;86,111,112,87;111,116,117,112;116,91,92,117;91,86,87,92;87,112,117,92
