6,31,26,1;1,26,27,2;26,31,125,27;31,6,7,125;6,1,2,7;2,27,125,7
7,125,27,2;2,27,28,3;27,125,124,28;125,7,8,124;7,2,3,8;3,28,124,8
8,124,28,3;3,28,29,4;28,124,123,29;124,8,9,123;8,3,4,9;4,29,123,9
9,123,29,4;4,29,30,5;29,123,32,30;123,9,10,32;9,4,5,10;5,30,32,10
11,33,31,6;6,31,125,7;31,33,122,125;33,11,12,122;11,6,7,12;7,125,122,12
12,122,125,7;7,125,124,8;125,122,121,124;122,12,13,121;12,7,8,13;8,124,121,13
13,121,124,8;8,124,123,9;124,121,120,123;121,13,14,120;13,8,9,14;9,123,120,14
14,120,123,9;9,123,32,10;123,120,34,32;120,14,15,34;14,9,10,15;10,32,34,15
16,35,33,11;11,33,122,12;33,35,119,122;35,16,17,119;16,11,12,17;12,122,119,17
17,119,122,12;12,122,121,13;122,119,118,121;119,17,18,118;17,12,13,18;13,121,118,18
18,118,121,13;13,121,120,14;121,118,117,120;118,18,19,117;18,13,14,19;14,120,117,19
19,117,120,14;14,120,34,15;120,117,36,34;117,19,20,36;19,14,15,20;15,34,36,20
21,37,35,16;16,35,119,17;35,37,38,119;37,21,22,38;21,16,17,22;17,119,38,22
22,38,119,17;17,119,118,18;119,38,39,118;38,22,23,39;22,17,18,23;18,118,39,23
23,39,118,18;18,118,117,19;118,39,40,117;39,23,24,40;23,18,19,24;19,117,40,24
24,40,117,19;19,117,36,20;117,40,41,36;40,24,25,41;24,19,20,25;20,36,41,25
31,47,42,26;26,42,43,27;42,47,116,43;47,31,125,116;31,26,27,125;27,43,116,125
125,116,43,27;27,43,44,28;43,116,115,44;116,125,124,115;125,27,28,124;28,44,115,124
124,115,44,28;28,44,45,29;44,115,114,45;115,124,123,114;124,28,29,123;29,45,114,123
123,114,45,29;29,45,46,30;45,114,48,46;114,123,32,48;123,29,30,32;30,46,48,32
33,49,47,31;31,47,116,125;47,49,113,116;49,33,122,113;33,31,125,122;125,116,113,122
122,113,116,125;125,116,115,124;116,113,112,115;113,122,121,112;122,125,124,121;124,115,112,121
121,112,115,124;124,115,114,123;115,112,111,114;112,121,120,111;121,124,123,120;123,114,111,120
120,111,114,123;123,114,48,32;114,111,50,48;111,120,34,50;120,123,32,34;32,48,50,34
35,51,49,33;33,49,113,122;49,51,110,113;51,35,119,110;35,33,122,119;122,113,110,119
119,110,113,122;122,113,112,121;113,110,109,112;110,119,118,109;119,122,121,118;121,112,109,118
118,109,112,121;121,112,111,120;112,109,108,111;109,118,117,108;118,121,120,117;120,111,108,117
117,108,111,120;120,111,50,34;111,108,52,50;108,117,36,52;117,120,34,36;34,50,52,36
37,53,51,35;35,51,110,119;51,53,54,110;53,37,38,54;37,35,119,38;119,110,54,38
38,54,110,119;119,110,109,118;110,54,55,109;54,38,39,55;38,119,118,39;118,109,55,39
39,55,109,118;118,109,108,117;109,55,56,108;55,39,40,56;39,118,117,40;117,108,56,40
40,56,108,117;117,108,52,36;108,56,57,52;56,40,41,57;40,117,36,41;36,52,57,41
47,63,58,42;42,58,59,43;58,63,107,59;63,47,116,107;47,42,43,116;43,59,107,116
116,107,59,43;43,59,60,44;59,107,106,60;107,116,115,106;116,43,44,115;44,60,106,115
115,106,60,44;44,60,61,45;60,106,105,61;106,115,114,105;115,44,45,114;45,61,105,114
114,105,61,45;45,61,62,46;61,105,64,62;105,114,48,64;114,45,46,48;46,62,64,48
49,65,63,47;47,63,107,116;63,65,104,107;65,49,113,104;49,47,116,113;116,107,104,113
113,104,107,116;116,107,106,115;107,104,103,106;104,113,112,103;113,116,115,112;115,106,103,112
112,103,106,115;115,106,105,114;106,103,102,105;103,112,111,102;112,115,114,111;114,105,102,111
111,102,105,114;114,105,64,48;105,102,66,64;102,111,50,66;111,114,48,50;48,64,66,50
51,67,65,49;49,65,104,113;65,67,101,104;67,51,110,101;51,49,113,110;113,104,101,110
110,101,104,113;113,104,103,112;104,101,100,103;101,110,109,100;110,113,112,109;112,103,100,109
109,100,103,112;112,103,102,111;103,100,99,102;100,109,108,99;109,112,111,108;111,102,99,108
108,99,102,111;111,102,66,50;102,99,68,66;99,108,52,68;108,111,50,52;50,66,68,52
53,69,67,51;51,67,101,110;67,69,70,101;69,53,54,70;53,51,110,54;110,101,70,54
54,70,101,110;110,101,100,109;101,70,71,100;70,54,55,71;54,110,109,55;109,100,71,55
55,71,100,109;109,100,99,108;100,71,72,99;71,55,56,72;55,109,108,56;108,99,72,56
56,72,99,108;108,99,68,52;99,72,73,68;72,56,57,73;56,108,52,57;52,68,73,57
63,79,74,58;58,74,75,59;74,79,80,75;79,63,107,80;63,58,59,107;59,75,80,107
107,80,75,59;59,75,76,60;75,80,81,76;80,107,106,81;107,59,60,106;60,76,81,106
106,81,76,60;60,76,77,61;76,81,82,77;81,106,105,82;106,60,61,105;61,77,82,105
105,82,77,61;61,77,78,62;77,82,83,78;82,105,64,83;105,61,62,64;62,78,83,64
65,84,79,63;63,79,80,107;79,84,85,80;84,65,104,85;65,63,107,104;107,80,85,104
104,85,80,107;107,80,81,106;80,85,86,81;85,104,103,86;104,107,106,103;106,81,86,103
103,86,81,106;106,81,82,105;81,86,87,82;86,103,102,87;103,106,105,102;105,82,87,102
102,87,82,105;105,82,83,64;82,87,88,83;87,102,66,88;102,105,64,66;64,83,88,66
67,89,84,65;65,84,85,104;84,89,90,85;89,67,101,90;67,65,104,101;104,85,90,101
101,90,85,104;104,85,86,103;85,90,91,86;90,101,100,91;101,104,103,100;103,86,91,100
100,91,86,103;103,86,87,102;86,91,92,87;91,100,99,92;100,103,102,99;102,87,92,99
99,92,87,102;102,87,88,66;87,92,93,88;92,99,68,93;99,102,66,68;66,88,93,68
69,94,89,67;67,89,90,101;89,94,95,90;94,69,70,95;69,67,101,70;101,90,95,70
70,95,90,101;101,90,91,100;90,95,96,91;95,70,71,96;70,101,100,71;100,91,96,71
71,96,91,100;100,91,92,99;91,96,97,92;96,71,72,97;71,100,99,72;99,92,97,72
72,97,92,99;99,92,93,68;92,97,98,93;97,72,73,98;72,99,68,73;68,93,98,73
