3840,270,218;266,3840,218;266,218,270;270,3840,266
611,2317,551;550,611,551;550,551,2317;2317,611,550
2317,611,610;550,2317,610;550,610,611;611,2317,550
549,2583,610;550,549,610;550,610,2583;2583,549,550
2583,2317,610;550,2583,610;550,610,2317;2317,2583,550
435,3119,434;492,435,434;492,434,3119;3119,435,492
1374,1373,1387;1225,1374,1387;1225,1387,1373;1373,1374,1225
1373,1374,1214;1225,1373,1214;1225,1214,1374;1374,1373,1225
1521,1732,1536;1731,1521,1536;1731,1536,1732;1732,1521,1731
1732,1521,1536;1733,1732,1536;1733,1536,1521;1521,1732,1733
1537,1732,1536;1733,1537,1536;1733,1536,1732;1732,1537,1733
1521,1522,1536;1733,1521,1536;1733,1536,1522;1522,1521,1733
1522,1537,1536;1733,1522,1536;1733,1536,1537;1537,1522,1733
1231,1382,1221;1232,1231,1221;1232,1221,1382;1382,1231,1232
4157,4170,141;4158,4157,141;4158,141,4170;4170,4157,4158
1212,1111,1112;1102,1212,1112;1102,1112,1111;1111,1212,1102
1465,1303,1289;1464,1465,1289;1464,1289,1303;1303,1465,1464
2069,607,667;666,2069,667;666,667,607;607,2069,666
611,610,663;2317,611,663;2317,663,610;610,611,2317
653,2100,705;707,653,705;707,705,2100;2100,653,707
2100,653,705;651,2100,705;651,705,653;653,2100,651
62,63,55;4322,62,55;4322,55,63;63,62,4322
63,47,55;4322,63,55;4322,55,47;47,63,4322
216,218,4036;169,216,4036;169,4036,218;218,216,169
4048,216,4036;169,4048,4036;169,4036,216;216,4048,169
216,4048,4036;4047,216,4036;4047,4036,4048;4048,216,4047
3840,218,4036;266,3840,4036;266,4036,218;218,3840,266
218,216,4036;266,218,4036;266,4036,216;216,218,266
4047,4048,3865;4060,4047,3865;4060,3865,4048;4048,4047,4060
4036,4048,3865;4047,4036,3865;4047,3865,4048;4048,4036,4047
164,4210,165;107,164,165;107,165,4210;4210,164,107
164,4048,165;4210,164,165;4210,165,4048;4048,164,4210
214,161,165;4060,214,165;4060,165,161;161,214,4060
4047,214,165;4060,4047,165;4060,165,214;214,4047,4060
4048,4047,165;4060,4048,165;4060,165,4047;4047,4048,4060
216,214,165;4047,216,165;4047,165,214;214,216,4047
4048,216,165;4047,4048,165;4047,165,216;216,4048,4047
216,4048,165;169,216,165;169,165,4048;4048,216,169
4048,164,165;169,4048,165;169,165,164;164,4048,169
2584,545,494;549,2584,494;549,494,545;545,2584,549
